"brand","collectionId","collectionName","created","desc","id","model","price","type","updated"
"AMD","0alx16pubju1uwz","components","2024-11-13 18:47:03.247Z","A high-end graphics card from AMD, suitable for 4K gaming and content creation with advanced ray tracing.","psy39fpbiltdb0g","Radeon RX 7900 XT","₹68,799","GPU","2024-11-13 18:47:03.247Z"
"Gigabyte","0alx16pubju1uwz","components","2024-11-13 18:47:38.856Z","A top-tier motherboard designed for overclocking and high-performance systems, with robust cooling and DDR5 support.","ahn6ifqgtc8nvvu","Z690 AORUS Master","₹47,436","Motherboard","2024-11-13 18:47:58.098Z"
"Kingston","0alx16pubju1uwz","components","2024-11-13 18:49:02.265Z","Kingston's reliable DDR5 memory with high speeds, designed for smooth multitasking and intensive applications.","u1jizcts7z4qqf8"," FURY Beast 32GB (2 x 16GB) DDR5-5200","₹9,347","RAM","2024-11-13 18:49:02.265Z"
"NVIDIA","0alx16pubju1uwz","components","2024-11-13 18:49:53.785Z","One of NVIDIA's top-performing GPUs with excellent 4K gaming, ray-tracing, and rendering capabilities for demanding workloads.","9m8fy943s7ok0fw","GeForce RTX 4080","₹1,10,000","GPU","2024-11-13 18:49:53.785Z"
"ASUS","0alx16pubju1uwz","components","2024-11-13 18:51:46.426Z","Durable and well-built motherboard with PCIe 4.0 support, designed for mid-range builds with ample connectivity.","5m07kfe22tw3odk","TUF Gaming B550-PLUS","₹16,149","Motherboard","2024-11-13 18:51:46.426Z"
"Crucial","0alx16pubju1uwz","components","2024-11-13 18:53:19.112Z","Affordable and high-quality memory for mid-range gaming and general use, with excellent reliability.","2yr2ok1ysmw0gaf","Ballistix 16GB (2 x 8GB) DDR4-3200","₹5,499","RAM","2024-11-13 18:53:19.112Z"
"AMD","0alx16pubju1uwz","components","2024-11-13 18:54:16.418Z","Great performance for 1080p and 1440p gaming, capable of smooth graphics and moderate ray tracing.","g3wfxlxl6elf2t2","Radeon RX 6700 XT","₹32,700","GPU","2024-11-13 18:54:16.418Z"
"ASRock","0alx16pubju1uwz","components","2024-11-13 18:55:25.203Z","A budget-friendly motherboard with all essential features, supporting DDR4 RAM and PCIe 4.0 for decent performance.","qjx10i8ahx9ih2v","B660M Pro RS","₹11,130","Motherboard","2024-11-13 18:55:25.203Z"
"TeamGroup","0alx16pubju1uwz","components","2024-11-13 18:56:16.679Z","Affordable, reliable RAM ideal for budget builds, balancing price and performance well.","19x7bqwa79vgjsn","T-Force Vulcan Z 16GB (2 x 8GB) DDR4-3200","₹4,645","RAM","2024-11-13 18:56:16.679Z"
"NVIDIA","0alx16pubju1uwz","components","2024-11-13 18:57:36.094Z","Budget-friendly GPU ideal for 1080p gaming and light content creation, known for solid performance without ray tracing.","jgl7bsgu4upfqma","GeForce GTX 1660 Super","₹21,140","GPU","2024-11-13 18:57:36.094Z"
